ip,fqdns,is_anycast,service_transport,service_port,service_banner,service_protocol,service_http_title,service_http_status_code,service_http_headers_sha256,service_http_body,service_http_body_mmh3,service_http_body_sha1,service_http_body_sha256,service_http_favicon_mmh3,service_http_favicon_sha256,service_ssh_hassh,service_tls_is_self_signed,service_tls_valid_from,service_tls_expires_at,service_tls_supported_versions,service_tls_fingerprint_sha256,service_tls_fingerprint_sha1,service_tls_jarm,service_tls_serial_number,service_tls_issuer_common_name,service_tls_issuer_country,service_tls_issuer_organization,service_tls_issuer_organizational_unit,service_tls_issuer_province,service_tls_issuer_locality,service_tls_issuer_email_address,service_tls_subject_common_name,service_tls_subject_country,service_tls_subject_organization,service_tls_subject_organizational_unit,service_tls_subject_province,service_tls_subject_locality,service_tls_subject_email_address,service_tls_raw,service_tls_is_valid,service_tls_is_trusted,service_scanned_at,service_fingerprints_os_product,service_fingerprints_os_version,service_fingerprints_os_icon_url,service_fingerprints_service_product,service_fingerprints_service_version,service_fingerprints_service_icon_url,service_fingerprints_technologies,service_fingerprints_tags,service_cves,asn_number,asn_org,geo_city_name,geo_country_name,geo_country_iso_code
91.64.160.253,,False,tcp,102.0,"firmware: 2.2.0
hardware: 1.32.32
is_s7: true
module_id: '6ES7 214-1AE30-0XB0 '
",siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-08T03:34:26Z,,,,,,,,,,3209.0,Vodafone GmbH,Stralsund,Germany,DE
91.64.158.188,,False,tcp,102.0,"firmware: 2.2.0
hardware: 2.32.32
is_s7: true
module_id: '6ES7 214-1AE30-0XB0 '
",siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-05T07:02:08.421787Z,,,,,,,,,,3209.0,Vodafone GmbH,Stralsund,Germany,DE
109.235.55.31,,False,tcp,102.0,"firmware: 4.5.1
hardware: 14.32.32
is_s7: true
module_id: '6ES7 215-1AG40-0XB0 '
",siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-05T01:31:46Z,,,,,,,,,,207456.0,Pangea Connected Limited,Tower Hamlets,United Kingdom,GB
109.235.54.207,,False,tcp,102.0,"copyright: Original Siemens Equipment
firmware: 3.1.3
hardware: 4.0.0
is_s7: true
location: '                      '
module: ET 200SP
module_id: '6ES7 512-1DM03-0AB0 '
module_type: CPU 1512SP-1 PN
plant_id: '                                '
reserved_for_os: 'SMC_275790ca10  '
serial_number: S C-SNA176WJ2024
system: ET 200SP
",siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-08T01:14:17Z,,,,,,,,,,207456.0,Pangea Connected Limited,Tower Hamlets,United Kingdom,GB
109.235.55.34,,False,tcp,502.0,"function_code: 43
length: 87
mei_response:
    conformity_level: 1
    more_follows: false
    next_object_id: 0
    object_count: 10
    objects:
        oid_16: 1022B5589339
        oid_17: ""\0,""
        oid_18: ""\0\0""
        oid_19: ""\0\x01""
        oid_20: ""\x03\x03""
        oid_21: ""\0\x01""
        product_code: Smart Logger
        revision: V300R001C00SPC103
        vendor: HUAWEI
        vendor_url: ""\0\n""
raw: WkcAAABXACsOAQEAAAoABkhVQVdFSQEMU21hcnQgTG9nZ2VyAhFWMzAwUjAwMUMwMFNQQzEwMwMCAAoQDDEwMjJCNTU4OTMzORECACwSAgAAEwIAARQCAwMVAgAB
raw_response: DgEBAAAKAAZIVUFXRUkBDFNtYXJ0IExvZ2dlcgIRVjMwMFIwMDFDMDBTUEMxMDMDAgAKEAwxMDIyQjU1ODkzMzkRAgAsEgIAABMCAAEUAgMDFQIAAQ==
unit_id: 0
",modbus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-23T00:38:01Z,,,,,,,,,,207456.0,Pangea Connected Limited,Tower Hamlets,United Kingdom,GB
109.235.55.34,,False,tcp,102.0,"firmware: 4.5.3
hardware: 15.32.32
is_s7: true
module_id: '6ES7 215-1AG40-0XB0 '
",siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-06T09:31:50Z,,,,,,,,,,207456.0,Pangea Connected Limited,Tower Hamlets,United Kingdom,GB
109.235.54.204,,False,tcp,102.0,"copyright: Original Siemens Equipment
firmware: 3.0.3
hardware: 3.0.0
is_s7: true
location: '                      '
module: PLC_1
module_id: '6ES7 512-1SM03-0AB0 '
module_type: CPU 1512SP F-1 PN
plant_id: '                                '
reserved_for_os: 'SMC_9c8bd6ea0c  '
serial_number: S C-RNA1DLRD2023
system: ET 200SP station_2
",siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-06T10:42:23Z,,,,,,,,,,207456.0,Pangea Connected Limited,Tower Hamlets,United Kingdom,GB
109.235.55.32,,False,tcp,502.0,"function_code: 43
length: 91
mei_response:
    conformity_level: 1
    more_follows: false
    next_object_id: 0
    object_count: 11
    objects:
        oid_16: 1024B9990669
        oid_17: ""\0%""
        oid_18: ""\0\0""
        oid_19: ""\0\x01""
        oid_20: ""\x03\x05""
        oid_21: ""\x01\x03""
        oid_23: ""\0\x04""
        product_code: Smart Logger
        revision: V300R023C00SPC154
        vendor: HUAWEI
        vendor_url: ""\0\n""
raw: WkcAAABbACsOAQEAAAsABkhVQVdFSQEMU21hcnQgTG9nZ2VyAhFWMzAwUjAyM0MwMFNQQzE1NAMCAAoQDDEwMjRCOTk5MDY2ORECACUSAgAAEwIAARQCAwUVAgEDFwIABA==
raw_response: DgEBAAALAAZIVUFXRUkBDFNtYXJ0IExvZ2dlcgIRVjMwMFIwMjNDMDBTUEMxNTQDAgAKEAwxMDI0Qjk5OTA2NjkRAgAlEgIAABMCAAEUAgMFFQIBAxcCAAQ=
unit_id: 0
",modbus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-15T07:16:48Z,,,,,,,,,,207456.0,Pangea Connected Limited,Tower Hamlets,United Kingdom,GB
109.33.160.191,,False,tcp,23.0,"SSH-2.0-OpenSSH_7.9
",telnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-23T11:10:08.147266Z,,,,,,,,,,33915.0,Vodafone Libertel B.V.,,The Netherlands,NL
131.180.122.135,,False,tcp,21.0,"220 Welcome to the TU Delft Thermosphere FTP site
",ftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-23T10:33:53Z,,,,,,,,,,1128.0,SURF B.V.,Rotterdam,The Netherlands,NL
