ip,query,n_results,results
91.64.160.253,ip=91.64.160.253 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[{'ip': '91.64.160.253', 'service': {'transport': 'tcp', 'port': 102, 'banner': ""firmware: 2.2.0\nhardware: 1.32.32\nis_s7: true\nmodule_id: '6ES7 214-1AE30-0XB0 '\n"", 'protocol': 'siemens', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-08T03:34:26Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 3209, 'org': 'Vodafone GmbH'}, 'geo': {'city_name': 'Stralsund', 'country_name': 'Germany', 'country_iso_code': 'DE'}, 'is_anycast': False}]"
91.64.158.188,ip=91.64.158.188 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[{'ip': '91.64.158.188', 'service': {'transport': 'tcp', 'port': 102, 'banner': ""firmware: 2.2.0\nhardware: 2.32.32\nis_s7: true\nmodule_id: '6ES7 214-1AE30-0XB0 '\n"", 'protocol': 'siemens', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-05-05T07:02:08.421787Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 3209, 'org': 'Vodafone GmbH'}, 'geo': {'city_name': 'Stralsund', 'country_name': 'Germany', 'country_iso_code': 'DE'}, 'is_anycast': False}]"
109.235.55.31,ip=109.235.55.31 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[{'ip': '109.235.55.31', 'service': {'transport': 'tcp', 'port': 102, 'banner': ""firmware: 4.5.1\nhardware: 14.32.32\nis_s7: true\nmodule_id: '6ES7 215-1AG40-0XB0 '\n"", 'protocol': 'siemens', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-05T01:31:46Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 207456, 'org': 'Pangea Connected Limited'}, 'geo': {'city_name': 'Tower Hamlets', 'country_name': 'United Kingdom', 'country_iso_code': 'GB'}, 'is_anycast': False}]"
109.235.54.207,ip=109.235.54.207 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[{'ip': '109.235.54.207', 'service': {'transport': 'tcp', 'port': 102, 'banner': ""copyright: Original Siemens Equipment\nfirmware: 3.1.3\nhardware: 4.0.0\nis_s7: true\nlocation: '                      '\nmodule: ET 200SP\nmodule_id: '6ES7 512-1DM03-0AB0 '\nmodule_type: CPU 1512SP-1 PN\nplant_id: '                                '\nreserved_for_os: 'SMC_275790ca10  '\nserial_number: S C-SNA176WJ2024\nsystem: ET 200SP\n"", 'protocol': 'siemens', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-08T01:14:17Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 207456, 'org': 'Pangea Connected Limited'}, 'geo': {'city_name': 'Tower Hamlets', 'country_name': 'United Kingdom', 'country_iso_code': 'GB'}, 'is_anycast': False}]"
109.235.55.34,ip=109.235.55.34 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),2,"[{'ip': '109.235.55.34', 'service': {'transport': 'tcp', 'port': 502, 'banner': 'function_code: 43\nlength: 87\nmei_response:\n    conformity_level: 1\n    more_follows: false\n    next_object_id: 0\n    object_count: 10\n    objects:\n        oid_16: 1022B5589339\n        oid_17: ""\\0,""\n        oid_18: ""\\0\\0""\n        oid_19: ""\\0\\x01""\n        oid_20: ""\\x03\\x03""\n        oid_21: ""\\0\\x01""\n        product_code: Smart Logger\n        revision: V300R001C00SPC103\n        vendor: HUAWEI\n        vendor_url: ""\\0\\n""\nraw: WkcAAABXACsOAQEAAAoABkhVQVdFSQEMU21hcnQgTG9nZ2VyAhFWMzAwUjAwMUMwMFNQQzEwMwMCAAoQDDEwMjJCNTU4OTMzORECACwSAgAAEwIAARQCAwMVAgAB\nraw_response: DgEBAAAKAAZIVUFXRUkBDFNtYXJ0IExvZ2dlcgIRVjMwMFIwMDFDMDBTUEMxMDMDAgAKEAwxMDIyQjU1ODkzMzkRAgAsEgIAABMCAAEUAgMDFQIAAQ==\nunit_id: 0\n', 'protocol': 'modbus', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-23T00:38:01Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 207456, 'org': 'Pangea Connected Limited'}, 'geo': {'city_name': 'Tower Hamlets', 'country_name': 'United Kingdom', 'country_iso_code': 'GB'}, 'is_anycast': False}, {'ip': '109.235.55.34', 'service': {'transport': 'tcp', 'port': 102, 'banner': ""firmware: 4.5.3\nhardware: 15.32.32\nis_s7: true\nmodule_id: '6ES7 215-1AG40-0XB0 '\n"", 'protocol': 'siemens', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-06T09:31:50Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 207456, 'org': 'Pangea Connected Limited'}, 'geo': {'city_name': 'Tower Hamlets', 'country_name': 'United Kingdom', 'country_iso_code': 'GB'}, 'is_anycast': False}]"
109.235.54.204,ip=109.235.54.204 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[{'ip': '109.235.54.204', 'service': {'transport': 'tcp', 'port': 102, 'banner': ""copyright: Original Siemens Equipment\nfirmware: 3.0.3\nhardware: 3.0.0\nis_s7: true\nlocation: '                      '\nmodule: PLC_1\nmodule_id: '6ES7 512-1SM03-0AB0 '\nmodule_type: CPU 1512SP F-1 PN\nplant_id: '                                '\nreserved_for_os: 'SMC_9c8bd6ea0c  '\nserial_number: S C-RNA1DLRD2023\nsystem: ET 200SP station_2\n"", 'protocol': 'siemens', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-06T10:42:23Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 207456, 'org': 'Pangea Connected Limited'}, 'geo': {'city_name': 'Tower Hamlets', 'country_name': 'United Kingdom', 'country_iso_code': 'GB'}, 'is_anycast': False}]"
109.235.55.32,ip=109.235.55.32 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[{'ip': '109.235.55.32', 'service': {'transport': 'tcp', 'port': 502, 'banner': 'function_code: 43\nlength: 91\nmei_response:\n    conformity_level: 1\n    more_follows: false\n    next_object_id: 0\n    object_count: 11\n    objects:\n        oid_16: 1024B9990669\n        oid_17: ""\\0%""\n        oid_18: ""\\0\\0""\n        oid_19: ""\\0\\x01""\n        oid_20: ""\\x03\\x05""\n        oid_21: ""\\x01\\x03""\n        oid_23: ""\\0\\x04""\n        product_code: Smart Logger\n        revision: V300R023C00SPC154\n        vendor: HUAWEI\n        vendor_url: ""\\0\\n""\nraw: WkcAAABbACsOAQEAAAsABkhVQVdFSQEMU21hcnQgTG9nZ2VyAhFWMzAwUjAyM0MwMFNQQzE1NAMCAAoQDDEwMjRCOTk5MDY2ORECACUSAgAAEwIAARQCAwUVAgEDFwIABA==\nraw_response: DgEBAAALAAZIVUFXRUkBDFNtYXJ0IExvZ2dlcgIRVjMwMFIwMjNDMDBTUEMxNTQDAgAKEAwxMDI0Qjk5OTA2NjkRAgAlEgIAABMCAAEUAgMFFQIBAxcCAAQ=\nunit_id: 0\n', 'protocol': 'modbus', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-15T07:16:48Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 207456, 'org': 'Pangea Connected Limited'}, 'geo': {'city_name': 'Tower Hamlets', 'country_name': 'United Kingdom', 'country_iso_code': 'GB'}, 'is_anycast': False}]"
109.33.160.191,ip=109.33.160.191 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[        {            ""ip"": ""109.33.160.191"",            ""service"": {                ""transport"": ""tcp"",                ""port"": 23,                ""banner"": ""SSH-2.0-OpenSSH_7.9\r\n"",                ""protocol"": ""telnet"",                ""http"": null,                ""ssh"": null,                ""tls"": null,                ""scanned_at"": ""2025-06-23T11:10:08.147266Z"",                ""fingerprints"": {                    ""os"": null,                    ""service"": null,                    ""technologies"": [],                    ""tags"": []                },                ""cves"": []            },            ""fqdns"": [],            ""asn"": {                ""number"": 33915,                ""org"": ""Vodafone Libertel B.V.""            },            ""geo"": {                ""city_name"": null,                ""country_name"": ""The Netherlands"",                ""country_iso_code"": ""NL""            },            ""is_anycast"": false        }    ]"
131.180.122.135,ip=131.180.122.135 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[{'ip': '131.180.122.135', 'service': {'transport': 'tcp', 'port': 21, 'banner': '220 Welcome to the TU Delft Thermosphere FTP site\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-23T10:33:53Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': [], 'asn': {'number': 1128, 'org': 'SURF B.V.'}, 'geo': {'city_name': 'Rotterdam', 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
31.186.175.88,ip=31.186.175.88 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),2,"[{'ip': '31.186.175.88', 'service': {'transport': 'tcp', 'port': 587, 'banner': '220-vps.cfplatform.nl ESMTP Exim 4.96 #2 Sun, 24 Aug 2025 21:01:18 +0200 \r\n220-We do not authorize the use of this system to transport unsolicited, \r\n220 and/or bulk e-mail.\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-24T19:01:18Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': ['annualcorporatereport.com'], 'asn': {'number': 48635, 'org': 'CLDIN B.V.'}, 'geo': {'city_name': None, 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}, {'ip': '31.186.175.88', 'service': {'transport': 'tcp', 'port': 21, 'banner': '220---------- Welcome to Pure-FTPd [privsep] [TLS] ----------\r\n220-You are user number 1 of 50 allowed.\r\n220-Local time is now 15:10. Server port: 21.\r\n220-This is a private system - No anonymous login\r\n220-IPv6 connections are also welcome on this server.\r\n220 You will be disconnected after 15 minutes of inactivity.\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-19T13:10:14Z', 'fingerprints': {'os': None, 'service': {'product': 'Pure-FTPd', 'version': None, 'icon_url': 'https://fp-icons.modat.io/technologies/Pure FTPD.png'}, 'technologies': [], 'tags': []}, 'cves': [{'id': 'CVE-2020-9365', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2019-20176', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2021-40524', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-9274', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-35359', 'cvss': 7.5, 'is_kev': False}]}, 'fqdns': ['annualcorporatereport.com'], 'asn': {'number': 48635, 'org': 'CLDIN B.V.'}, 'geo': {'city_name': None, 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
37.97.239.10,ip=37.97.239.10 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[{'ip': '37.97.239.10', 'service': {'transport': 'tcp', 'port': 21, 'banner': '220---------- Welcome to Pure-FTPd [privsep] [TLS] ----------\r\n220-You are user number 1 of 50 allowed.\r\n220-Local time is now 12:10. Server port: 21.\r\n220-This is a private system - No anonymous login\r\n220-IPv6 connections are also welcome on this server.\r\n220 You will be disconnected after 15 minutes of inactivity.\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-22T10:40:26Z', 'fingerprints': {'os': None, 'service': {'product': 'Pure-FTPd', 'version': None, 'icon_url': 'https://fp-icons.modat.io/technologies/Pure FTPD.png'}, 'technologies': [], 'tags': []}, 'cves': [{'id': 'CVE-2020-35359', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2019-20176', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2021-40524', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-9365', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-9274', 'cvss': 7.5, 'is_kev': False}]}, 'fqdns': [], 'asn': {'number': 20857, 'org': 'Signet B.V.'}, 'geo': {'city_name': None, 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
149.210.243.232,ip=149.210.243.232 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),2,"[{'ip': '149.210.243.232', 'service': {'transport': 'tcp', 'port': 587, 'banner': '220-host.damnengine.net ESMTP Exim 4.98.2 #2 Fri, 22 Aug 2025 18:00:01 +0200 \r\n220-We do not authorize the use of this system to transport unsolicited, \r\n220 and/or bulk e-mail.\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-22T16:00:01Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': ['webdisk.cablejuice.tv', 'www.cablejuice.tv', 'cpanel.cablejuice.tv', 'mail.cablejuice.tv', 'webmail.cablejuice.tv', 'cpcalendars.cablejuice.tv', 'cablejuice.tv', 'cpcontacts.cablejuice.tv'], 'asn': {'number': 20857, 'org': 'Signet B.V.'}, 'geo': {'city_name': 'Amersfoort', 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}, {'ip': '149.210.243.232', 'service': {'transport': 'tcp', 'port': 21, 'banner': '220---------- Welcome to Pure-FTPd [privsep] [TLS] ----------\r\n220-You are user number 1 of 50 allowed.\r\n220-Local time is now 11:48. Server port: 21.\r\n220-This is a private system - No anonymous login\r\n220-IPv6 connections are also welcome on this server.\r\n220 You will be disconnected after 15 minutes of inactivity.\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-17T09:48:03Z', 'fingerprints': {'os': None, 'service': {'product': 'Pure-FTPd', 'version': None, 'icon_url': 'https://fp-icons.modat.io/technologies/Pure FTPD.png'}, 'technologies': [], 'tags': []}, 'cves': [{'id': 'CVE-2021-40524', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-9274', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2019-20176', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-35359', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-9365', 'cvss': 7.5, 'is_kev': False}]}, 'fqdns': ['webdisk.cablejuice.tv', 'www.cablejuice.tv', 'cpanel.cablejuice.tv', 'webmail.cablejuice.tv', 'mail.cablejuice.tv', 'cpcalendars.cablejuice.tv', 'cablejuice.tv', 'cpcontacts.cablejuice.tv'], 'asn': {'number': 20857, 'org': 'Signet B.V.'}, 'geo': {'city_name': 'Amersfoort', 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
81.23.229.6,ip=81.23.229.6 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[{'ip': '81.23.229.6', 'service': {'transport': 'tcp', 'port': 587, 'banner': '220-rabat.hip-it.nl ESMTP Exim 4.98.1 #2 Fri, 15 Aug 2025 22:05:19 +0200 \r\n220-We do not authorize the use of this system to transport unsolicited, \r\n220 and/or bulk e-mail.\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-15T20:05:19Z', 'fingerprints': {'os': None, 'service': None, 'technologies': [], 'tags': []}, 'cves': []}, 'fqdns': ['urban-connect.nl', 'urbanconnect.nl', 'www.urbannetwork.nl', 'www.ads.marokkomedia.nl', 'ads.marokkomedia.nl', 'mail.urbannetwork.nl', 'www.urban-connect.nl', 'www.marokko-media.nl', 'mail.urbanconnect.nl', 'urban-network.nl', 'mail.urban-network.nl', 'mail.urban-connect.nl', 'marokko-media.nl', 'urbannetwork.nl', 'mail.marokko-media.nl', 'www.marokkomedia.nl', 'mail.marokkomedia.nl', 'www.urbanconnect.nl', 'www.urban-network.nl', 'marokkomedia.nl'], 'asn': {'number': 24730, 'org': 'Garnier Projects BV'}, 'geo': {'city_name': None, 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
37.128.149.102,ip=37.128.149.102 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[{'ip': '37.128.149.102', 'service': {'transport': 'tcp', 'port': 21, 'banner': '220 (vsFTPd 3.0.2)\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-22T10:40:26Z', 'fingerprints': {'os': None, 'service': {'product': 'vsFTPd', 'version': '3.0.2', 'icon_url': 'https://fp-icons.modat.io/technologies/default.svg'}, 'technologies': [], 'tags': []}, 'cves': [{'id': 'CVE-2021-3618', 'cvss': 7.4, 'is_kev': False}]}, 'fqdns': ['recruitmentmatters.nl', 'vps-303361-6062.hosted.at.hostnet.nl'], 'asn': {'number': 197902, 'org': 'Hostnet B.V.'}, 'geo': {'city_name': None, 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
149.210.235.118,ip=149.210.235.118 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[{'ip': '149.210.235.118', 'service': {'transport': 'tcp', 'port': 21, 'banner': '220---------- Welcome to Pure-FTPd [privsep] [TLS] ----------\r\n220-You are user number 1 of 50 allowed.\r\n220-Local time is now 08:57. Server port: 21.\r\n220-This is a private system - No anonymous login\r\n220-IPv6 connections are also welcome on this server.\r\n220 You will be disconnected after 15 minutes of inactivity.\r\n', 'protocol': 'ftp', 'http': None, 'ssh': None, 'tls': None, 'scanned_at': '2025-08-19T07:13:47Z', 'fingerprints': {'os': None, 'service': {'product': 'Pure-FTPd', 'version': None, 'icon_url': 'https://fp-icons.modat.io/technologies/Pure FTPD.png'}, 'technologies': [], 'tags': []}, 'cves': [{'id': 'CVE-2020-35359', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2021-40524', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-9274', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2019-20176', 'cvss': 7.5, 'is_kev': False}, {'id': 'CVE-2020-9365', 'cvss': 7.5, 'is_kev': False}]}, 'fqdns': [], 'asn': {'number': 20857, 'org': 'Signet B.V.'}, 'geo': {'city_name': 'Amersfoort', 'country_name': 'The Netherlands', 'country_iso_code': 'NL'}, 'is_anycast': False}]"
81.207.6.18,ip=81.207.6.18 and (service=siemens or service=telnet or service=modbus or service=ftp or service=dnp3),1,"[        {            ""ip"": ""81.207.6.18"",            ""service"": {                ""transport"": ""tcp"",                ""port"": 21,                ""banner"": ""220 (vsFTPd 3.0.3)\r\n"",                ""protocol"": ""ftp"",                ""http"": null,                ""ssh"": null,                ""tls"": null,                ""scanned_at"": ""2025-08-24T08:44:03Z"",                ""fingerprints"": {                    ""os"": null,                    ""service"": {                        ""product"": ""vsFTPd"",                        ""version"": ""3.0.3"",                        ""icon_url"": ""https://fp-icons.modat.io/technologies/default.svg""                    },                    ""technologies"": [],                    ""tags"": []                },                ""cves"": [                    {                        ""id"": ""CVE-2021-30047"",                        ""cvss"": 7.5,                        ""is_kev"": false                    },                    {                        ""id"": ""CVE-2021-3618"",                        ""cvss"": 7.4,                        ""is_kev"": false                    }                ]            },            ""fqdns"": [],            ""asn"": {                ""number"": 1136,                ""org"": ""KPN B.V.""            },            ""geo"": {                ""city_name"": ""Amsterdam"",                ""country_name"": ""The Netherlands"",                ""country_iso_code"": ""NL""            },            ""is_anycast"": false        }    ]"
