"farm_name","operator","vendor"
"Belwind I","Belwind NV","Vestas; Alstom (now GE Renewable Energy)"
"Thorntonbank Part 1","C-Power","Alstom"
"Thorntonbank Part 2","C-Power","Alstom"
"Thorntonbank Part 3","C-Power","Alstom"
"Avedøre Holme","Ørsted","Siemens"
"Kriegers Flak","Ørsted; Vattenfall","Siemens Gamesa"
"Rønland","Ørsted","Vestas"
"Samso","Ørsted","Siemens Gamesa"
"Tuno Knob","NRGi Renewables","Vestas"
"Ajos Repowering","IKEA; OX2","Siemens"
"Pori-Tahkoluoto","Suomen Hyötytuuli","Siemens Gamesa"
"Borkum Riffgrund II","Ørsted","MHI Vestas; Siemens Gamesa"
"Kaskasi","RWE AG","Siemens Gamesa"
"Meerwind Ost","Wind MW","Siemens"
"Meerwind Süd","Wind MW","Siemens"
"Taranto Offshore","Eni; CDP Equity; Plenitude","Siemens Gamesa"
"Eneco Luchterduinen","Eneco; Mitsubishi Corporation","MHI Vestas"
"Gemini","Gemini","Siemens Gamesa"
"Hollandse Kust Noord Holland I - II","CrossWind (joint venture of Shell and Eneco)","Siemens Gamesa"
"Westermeerdijk buitendijks","RWE","Enercon"
"Windpark Fryslân","Windpark Fryslân B.V.","Siemens Gamesa"
"Hywind Tampen","Equinor; Petoro; OMV; Wintershall Dea; Idemitsu Petroleum Norge; Vår Energi","Siemens Gamesa"
"WindFloat Atlantic","Ocean Winds (joint venture of EDP Renewables and Engie)","Vestas"
"Plocan","Plocan","Siemens Gamesa"
"Bockstigen Offshore","Momentum Gruppen","Wind World"
"Karehamn","RWE","Vestas"
"Lillgrund","Vattenfall","Siemens"
"Vänern","Vänern Vind AB; VänerEnergi AB","Siemens"
"Blyth Offshore","EDF Renewables; MHI Vestas","MHI Vestas"
"EOWDC","Vattenfall; innogy (now RWE); Statkraft","MHI Vestas"
"Galloper","RWE","Siemens"
"Greater Gabbard 1","SSE Renewables; RWE Renewables","Siemens"
"Greater Gabbard 2","SSE Renewables; RWE Renewables","Siemens"
"Gunfleet Sands 1","Ørsted; JERA; Development Bank of Japan Inc.","Siemens"
"Gunfleet Sands 2","Ørsted; JERA; Development Bank of Japan Inc.","Siemens"
"Gunfleet Sands 3 Demonstration","Ørsted; JERA; Development Bank of Japan Inc.","Siemens"
"Hornsea Project One - Heron Wind","Ørsted","Siemens Gamesa"
"Hornsea Project Two - Breesea and Optimus Wind","Ørsted","Siemens Gamesa"
"Hywind Scotland Pilot Park","Equinor; Masdar","Siemens Gamesa"
"Kentish Flats 2","Vattenfall","Vestas"
"Kincardine Offshore Windfarm Part 2","Cobra Group","Vestas"
"Lynn and Inner Dowsing","Ørsted","Siemens"
"Robin Rigg","Ørsted","Vestas"
"Seagreen","TotalEnergies; SSE Renewables","MHI Vestas"
"Triton Knoll Wind Farm Part 1","RWE Renewables; J-Power; Kansai Electric Power","MHI Vestas"
"Triton Knoll Wind Farm Part 2","RWE Renewables; J-Power; Kansai Electric Power","MHI Vestas"
"Triton Knoll Wind Farm Part 3","RWE Renewables; J-Power; Kansai Electric Power","MHI Vestas"
"Walney Extension","Ørsted; PFA Pension; PKA; LEGO Group","Siemens Gamesa; MHI Vestas"
"Walney Phase 1","Ørsted","Siemens"
"Walney Phase 2","Ørsted","Siemens"
