protocol,query,explanation,results
siemens,"org~""C-Power"" and service=siemens and port=102 and country=BE and last_seen>2024-07-24","Siemens S7 is used for the control systems of wind turbines. C-Power is the operator of the Thorntonbank wind farm in Belgium, which historically used Alstom (now GE) turbines, but may have Siemens PLCs in balance of plant systems.",0
siemens,"org~""Ocean Winds"" and service=siemens and port=102 and country=PT and last_seen>2024-07-24","Siemens S7 is used for turbine control and SCADA systems. Ocean Winds (a JV of EDPR and Engie) operates the WindFloat Atlantic project, which integrates Vestas turbines with complex floating platform control systems.",0
siemens,"org~""Ocean"" and service=siemens and port=102 and country=NL and last_seen>2024-07-24",,15
siemens,"org~""CrossWind"" and service=siemens and port=102 and country=NL and last_seen>2024-07-24","Siemens S7 is used for automation within the wind farm. CrossWind is the Shell-Eneco joint venture operating the Hollandse Kust Noord project, which uses Siemens Gamesa turbines.",0
siemens,"org~""Windpark Fryslân"" and service=siemens and port=102 and country=NL and last_seen>2024-07-24","Siemens S7 controllers are used for turbine operation. Windpark Fryslân B.V. is the operator of the large nearshore wind farm in the Netherlands, which uses Siemens Gamesa turbines.",0
siemens,"org~""Equinor"" and service=siemens and port=102 and country=NO and last_seen>2024-07-24","Siemens S7 is used for turbine control on floating platforms. Equinor is the operator of the pioneering Hywind Tampen floating wind farm, which uses Siemens Gamesa turbines.",0
siemens,"org~""Plocan"" and service=siemens and port=102 and country=ES and last_seen>2024-07-24",Siemens S7 is used for controlling test turbines and associated grid equipment. Plocan operates an offshore test site in the Canary Islands.,0
siemens,"org~""Suomen Hyötytuuli"" and service=siemens and port=102 and country=FI and last_seen>2024-07-24","Siemens S7 is used for SCADA and turbine control. Suomen Hyötytuuli is the operator of the Pori-Tahkoluoto wind farm, the first offshore farm in Finnish waters.",0
siemens,"org~""SSE Renewables"" and service=siemens and port=102 and country=GB and last_seen>2024-07-24",Siemens S7 is used for turbine automation. SSE Renewables is a co-operator of the Greater Gabbard and Seagreen wind farms in the UK.,0
siemens,"org~""TotalEnergies"" and service=siemens and port=102 and country=GB and last_seen>2024-07-24",Siemens S7 is used in wind farm control systems. TotalEnergies is a major partner in the Seagreen wind farm project in the UK.,0
siemens,"org~""Van Oord"" and service=siemens and port=102 and country=NL and last_seen>2024-07-24",Siemens S7 may be used on installation vessels or in project infrastructure. Van Oord is a major marine contractor and co-owner/developer of the Windpark Fryslân project.,0
telnet,"org~""DEME"" and service=telnet and port=23 and country=BE and last_seen>2024-07-24",Telnet may be used for remote administration on specialized offshore installation vessels or equipment. DEME is a key marine contractor for wind farms like Thorntonbank.,0
telnet,"org~""TenneT"" and service=telnet and port=23 and country=NL and last_seen>2024-07-24",Telnet could be enabled on legacy networking devices within offshore substations. TenneT is the Dutch Transmission System Operator (TSO) for multiple wind farms.,0
