ip,protocols
104.248.197.169,['siemens']
128.199.42.147,['siemens']
142.93.232.3,['siemens']
159.223.231.30,['siemens']
159.223.235.24,['siemens']
159.65.193.74,['siemens']
159.8.253.52,['ftp']
167.71.4.155,['siemens']
167.71.69.12,['siemens']
167.99.214.253,['siemens']
185.17.186.188,['ftp']
185.184.121.130,['ftp']
188.166.122.111,['siemens']
188.166.29.224,['siemens']
188.166.39.90,['siemens']
188.166.43.81,['ftp']
188.166.46.28,['siemens']
190.105.195.3,['ftp']
190.105.195.4,['ftp']
209.38.100.45,['siemens']
209.38.37.17,['siemens']
37.48.111.240,['ftp']
37.48.95.248,['ftp']
37.48.95.249,['ftp']
45.94.31.35,['ftp']
46.17.3.107,['ftp']
5.79.112.250,['ftp']
81.4.121.40,['ftp']
83.146.235.237,['modbus']
83.149.118.89,['ftp']
95.211.3.58,['ftp']
