protocol,query,ip,long,lat,distance,windfarm,farm_country,farm_long,farm_lat
siemens,"org~""Ocean"" and service=siemens and port=102 and country=NL and last_seen>2024-07-24",167.99.214.253,4.8897,52.374,49.28558252117767,Eneco Luchterduinen,Netherlands,52.403,4.165
siemens,"org~""Ocean"" and service=siemens and port=102 and country=NL and last_seen>2024-07-24",167.71.4.155,4.8897,52.374,49.28558252117767,Eneco Luchterduinen,Netherlands,52.403,4.165
siemens,"org~""Ocean"" and service=siemens and port=102 and country=NL and last_seen>2024-07-24",159.65.193.74,4.8897,52.374,49.28558252117767,Eneco Luchterduinen,Netherlands,52.403,4.165
siemens,"org~""Ocean"" and service=siemens and port=102 and country=NL and last_seen>2024-07-24",159.223.235.24,4.8897,52.374,49.28558252117767,Eneco Luchterduinen,Netherlands,52.403,4.165
siemens,"org~""Ocean"" and service=siemens and port=102 and country=NL and last_seen>2024-07-24",159.223.231.30,4.8897,52.374,49.28558252117767,Eneco Luchterduinen,Netherlands,52.403,4.165
siemens,"org~""Ocean"" and service=siemens and port=102 and country=NL and last_seen>2024-07-24",167.71.69.12,4.8897,52.374,49.28558252117767,Eneco Luchterduinen,Netherlands,52.403,4.165
siemens,"org~""Ocean"" and service=siemens and port=102 and country=NL and last_seen>2024-07-24",188.166.122.111,4.8897,52.374,49.28558252117767,Eneco Luchterduinen,Netherlands,52.403,4.165
siemens,"org~""Ocean"" and service=siemens and port=102 and country=NL and last_seen>2024-07-24",188.166.39.90,4.8897,52.374,49.28558252117767,Eneco Luchterduinen,Netherlands,52.403,4.165
siemens,"org~""Ocean"" and service=siemens and port=102 and country=NL and last_seen>2024-07-24",104.248.197.169,4.8897,52.374,49.28558252117767,Eneco Luchterduinen,Netherlands,52.403,4.165
siemens,"org~""Ocean"" and service=siemens and port=102 and country=NL and last_seen>2024-07-24",128.199.42.147,4.8897,52.374,49.28558252117767,Eneco Luchterduinen,Netherlands,52.403,4.165
siemens,"org~""Ocean"" and service=siemens and port=102 and country=NL and last_seen>2024-07-24",188.166.46.28,4.8897,52.374,49.28558252117767,Eneco Luchterduinen,Netherlands,52.403,4.165
siemens,"org~""Ocean"" and service=siemens and port=102 and country=NL and last_seen>2024-07-24",209.38.100.45,4.8897,52.374,49.28558252117767,Eneco Luchterduinen,Netherlands,52.403,4.165
siemens,"org~""Ocean"" and service=siemens and port=102 and country=NL and last_seen>2024-07-24",142.93.232.3,4.8897,52.374,49.28558252117767,Eneco Luchterduinen,Netherlands,52.403,4.165
siemens,"org~""Ocean"" and service=siemens and port=102 and country=NL and last_seen>2024-07-24",209.38.37.17,4.8897,52.374,49.28558252117767,Eneco Luchterduinen,Netherlands,52.403,4.165
siemens,"org~""Ocean"" and service=siemens and port=102 and country=NL and last_seen>2024-07-24",188.166.29.224,4.8897,52.374,49.28558252117767,Eneco Luchterduinen,Netherlands,52.403,4.165
modbus,"org~""Suomen"" and service=modbus and port=502 and country=FI and last_seen>2024-07-24",83.146.235.237,21.4084,60.8004,90.15216897317596,Pori-Tahkoluoto,Finland,61.608,21.26
