protocol,query,ip,long,lat,distance,windfarm,farm_country,farm_long,farm_lat
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",91.64.160.253,13.0818,54.3091,80.67741163217904,Kriegers Flak,Denmark,55.03,12.94
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",91.64.158.188,13.0818,54.3091,80.67741163217904,Kriegers Flak,Denmark,55.03,12.94
siemens,"org~""GE"" and service=siemens and port=102 and country=GB and last_seen>2024-07-24",109.235.55.31,-0.1257,51.5085,92.98452421524962,Gunfleet Sands 2,United Kingdom,51.737,1.17
siemens,"org~""GE"" and service=siemens and port=102 and country=GB and last_seen>2024-07-24",109.235.55.31,-0.1257,51.5085,92.98452421524962,Gunfleet Sands 1,United Kingdom,51.737,1.17
siemens,"org~""GE"" and service=siemens and port=102 and country=GB and last_seen>2024-07-24",109.235.55.31,-0.1257,51.5085,83.68022841701932,Kentish Flats 2,United Kingdom,51.45,1.079
siemens,"org~""GE"" and service=siemens and port=102 and country=GB and last_seen>2024-07-24",109.235.54.207,-0.1257,51.5085,92.98452421524962,Gunfleet Sands 2,United Kingdom,51.737,1.17
siemens,"org~""GE"" and service=siemens and port=102 and country=GB and last_seen>2024-07-24",109.235.54.207,-0.1257,51.5085,92.98452421524962,Gunfleet Sands 1,United Kingdom,51.737,1.17
siemens,"org~""GE"" and service=siemens and port=102 and country=GB and last_seen>2024-07-24",109.235.54.207,-0.1257,51.5085,83.68022841701932,Kentish Flats 2,United Kingdom,51.45,1.079
siemens,"org~""GE"" and service=siemens and port=102 and country=GB and last_seen>2024-07-24",109.235.55.34,-0.1257,51.5085,92.98452421524962,Gunfleet Sands 2,United Kingdom,51.737,1.17
siemens,"org~""GE"" and service=siemens and port=102 and country=GB and last_seen>2024-07-24",109.235.55.34,-0.1257,51.5085,92.98452421524962,Gunfleet Sands 1,United Kingdom,51.737,1.17
siemens,"org~""GE"" and service=siemens and port=102 and country=GB and last_seen>2024-07-24",109.235.55.34,-0.1257,51.5085,83.68022841701932,Kentish Flats 2,United Kingdom,51.45,1.079
siemens,"org~""GE"" and service=siemens and port=102 and country=GB and last_seen>2024-07-24",109.235.54.204,-0.1257,51.5085,92.98452421524962,Gunfleet Sands 2,United Kingdom,51.737,1.17
siemens,"org~""GE"" and service=siemens and port=102 and country=GB and last_seen>2024-07-24",109.235.54.204,-0.1257,51.5085,92.98452421524962,Gunfleet Sands 1,United Kingdom,51.737,1.17
siemens,"org~""GE"" and service=siemens and port=102 and country=GB and last_seen>2024-07-24",109.235.54.204,-0.1257,51.5085,83.68022841701932,Kentish Flats 2,United Kingdom,51.45,1.079
modbus,"org~""GE"" and service=modbus and port=502 and country=GB and last_seen>2024-07-24",109.235.55.34,-0.1257,51.5085,92.98452421524962,Gunfleet Sands 2,United Kingdom,51.737,1.17
modbus,"org~""GE"" and service=modbus and port=502 and country=GB and last_seen>2024-07-24",109.235.55.34,-0.1257,51.5085,92.98452421524962,Gunfleet Sands 1,United Kingdom,51.737,1.17
modbus,"org~""GE"" and service=modbus and port=502 and country=GB and last_seen>2024-07-24",109.235.55.34,-0.1257,51.5085,83.68022841701932,Kentish Flats 2,United Kingdom,51.45,1.079
modbus,"org~""GE"" and service=modbus and port=502 and country=GB and last_seen>2024-07-24",109.235.55.32,-0.1257,51.5085,92.98452421524962,Gunfleet Sands 2,United Kingdom,51.737,1.17
modbus,"org~""GE"" and service=modbus and port=502 and country=GB and last_seen>2024-07-24",109.235.55.32,-0.1257,51.5085,92.98452421524962,Gunfleet Sands 1,United Kingdom,51.737,1.17
modbus,"org~""GE"" and service=modbus and port=502 and country=GB and last_seen>2024-07-24",109.235.55.32,-0.1257,51.5085,83.68022841701932,Kentish Flats 2,United Kingdom,51.45,1.079
telnet,"(org~""ddl"" or web.html~""ddl"" or banner~""ddl"") and service=telnet and port=23 and country=NL and last_seen>2024-07-24",109.33.160.191,4.4458,51.77,72.95434705214403,Eneco Luchterduinen,Netherlands,52.403,4.165
ftp,"(org~""crosswind"" or web.html~""crosswind"" or banner~""crosswind"") and service=ftp and port=21 and country=NL and last_seen>2024-07-24",131.180.122.135,4.3556,52.0067,45.94083783280291,Eneco Luchterduinen,Netherlands,52.403,4.165
ftp,"(org~""eneco"" or web.html~""eneco"" or banner~""eneco"") and service=ftp and port=21 and country=NL and last_seen>2024-07-24",31.186.175.88,5.475,52.5083,24.584278112039907,Westermeerdijk buitendijks,Netherlands,52.72,5.58
ftp,"(org~""eneco"" or web.html~""eneco"" or banner~""eneco"") and service=ftp and port=21 and country=NL and last_seen>2024-07-24",37.97.239.10,4.2986,52.0767,37.40596707993472,Eneco Luchterduinen,Netherlands,52.403,4.165
ftp,"(org~""eneco"" or web.html~""eneco"" or banner~""eneco"") and service=ftp and port=21 and country=NL and last_seen>2024-07-24",149.210.243.232,4.7431,52.4683,39.05593671350557,Hollandse Kust Noord Holland I - II,Netherlands,52.67,4.27
ftp,"(org~""eneco"" or web.html~""eneco"" or banner~""eneco"") and service=ftp and port=21 and country=NL and last_seen>2024-07-24",149.210.243.232,4.7431,52.4683,39.85644983002825,Eneco Luchterduinen,Netherlands,52.403,4.165
ftp,"(org~""eneco"" or web.html~""eneco"" or banner~""eneco"") and service=ftp and port=21 and country=NL and last_seen>2024-07-24",81.23.229.6,4.6368,52.3808,40.61868997121191,Hollandse Kust Noord Holland I - II,Netherlands,52.67,4.27
ftp,"(org~""eneco"" or web.html~""eneco"" or banner~""eneco"") and service=ftp and port=21 and country=NL and last_seen>2024-07-24",81.23.229.6,4.6368,52.3808,32.11018216721476,Eneco Luchterduinen,Netherlands,52.403,4.165
ftp,"(org~""eneco"" or web.html~""eneco"" or banner~""eneco"") and service=ftp and port=21 and country=NL and last_seen>2024-07-24",37.128.149.102,12.5655,55.6759,22.32520441664276,Lillgrund,Sweden,55.509,12.763
ftp,"(org~""eneco"" or web.html~""eneco"" or banner~""eneco"") and service=ftp and port=21 and country=NL and last_seen>2024-07-24",37.128.149.102,12.5655,55.6759,10.727054038142107,Avedøre Holme,Denmark,55.6,12.46
ftp,"(org~""eneco"" or web.html~""eneco"" or banner~""eneco"") and service=ftp and port=21 and country=NL and last_seen>2024-07-24",149.210.235.118,4.3986,52.2033,27.301493108359164,Eneco Luchterduinen,Netherlands,52.403,4.165
ftp,"(org~""eneco"" or web.html~""eneco"" or banner~""eneco"") and service=ftp and port=21 and country=NL and last_seen>2024-07-24",81.207.6.18,4.8897,52.374,49.28558252117767,Eneco Luchterduinen,Netherlands,52.403,4.165
ftp,"(org~""windpark"" or web.html~""windpark"" or banner~""windpark"") and service=ftp and port=21 and country=NL and last_seen>2024-07-24",92.118.110.134,5.475,52.5083,24.584278112039907,Westermeerdijk buitendijks,Netherlands,52.72,5.58
dnp3,"(org~""siemens"" or web.html~""siemens"" or banner~""siemens"") and service=dnp3 and port=20000 and country=DE and last_seen>2024-07-24",37.81.140.34,10.6873,53.8689,194.610233339342,Kriegers Flak,Denmark,55.03,12.94
