,query,use_case,org_role,results_found
Siemens S7,"org~""Siemens Gamesa"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",Used in SCADA and ICS for real-time turbine and substation control.,Turbine and SCADA system vendor,0
Siemens S7,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",Used in SCADA and ICS for real-time turbine and substation control.,SCADA and substation automation vendor,25
Siemens S7,"org~""Vestas"" and service=siemens and port=102 and country=DK and last_seen>2024-07-24",Used in SCADA and ICS for real-time turbine and substation control.,Turbine vendor with SCADA capabilities,0
Siemens S7,"org~""MHI Vestas"" and service=siemens and port=102 and country=DK and last_seen>2024-07-24",Used in SCADA and ICS for real-time turbine and substation control.,Joint venture turbine vendor,0
Siemens S7,"org~""GE Renewable Energy"" and service=siemens and port=102 and country=GB and last_seen>2024-07-24",Used in SCADA and ICS for real-time turbine and substation control.,Turbine vendor with grid interface systems,0
Siemens S7,"org~""GE"" and service=siemens and port=102 and country=GB and last_seen>2024-07-24",Used in SCADA and ICS for real-time turbine and substation control.,Turbine vendor with grid interface systems,6
Siemens S7,"org~""Senvion"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",Used in SCADA and ICS for real-time turbine and substation control.,Turbine vendor with legacy control systems,0
Siemens S7,"org~""Areva Wind"" and service=siemens and port=102 and country=FR and last_seen>2024-07-24",Used in SCADA and ICS for real-time turbine and substation control.,"Legacy turbine vendor, acquired",0
Siemens S7,"org~""NEG Micon"" and service=siemens and port=102 and country=DK and last_seen>2024-07-24",Used in SCADA and ICS for real-time turbine and substation control.,Legacy Danish turbine manufacturer,0
Siemens S7,"org~""Alstom"" and service=siemens and port=102 and country=FR and last_seen>2024-07-24",Used in SCADA and ICS for real-time turbine and substation control.,Grid control and turbine legacy vendor,0
Siemens S7,"org~""ABB"" and service=siemens and port=102 and country=SE and last_seen>2024-07-24",Used in SCADA and ICS for real-time turbine and substation control.,Substation and automation system vendor,0
Telnet,"org~""Senvion"" and service=telnet and port=23 and country=DE and last_seen>2024-07-24",Legacy protocol for remote access to older turbines or network equipment.,Turbine vendor with older systems,0
Telnet,"org~""Alstom"" and service=telnet and port=23 and country=FR and last_seen>2024-07-24",Legacy protocol for remote access to older turbines or network equipment.,Legacy SCADA/grid vendor,10
Telnet,"org~""NEG Micon"" and service=telnet and port=23 and country=DK and last_seen>2024-07-24",Legacy protocol for remote access to older turbines or network equipment.,Legacy wind turbine manufacturer,0
Telnet,"org~""Ørsted"" and service=telnet and port=23 and country=DK and last_seen>2024-07-24",,Offshore wind farm operator,0
Telnet,"org~""Vattenfall"" and service=telnet and port=23 and country=SE and last_seen>2024-07-24",Legacy protocol for remote access to older turbines or network equipment.,Offshore wind farm operator,0
Telnet,"org~""E.ON"" and service=telnet and port=23 and country=DE and last_seen>2024-07-24",Legacy protocol for remote access to older turbines or network equipment.,Operator and energy utility,0
Telnet,"org~""EON"" and service=telnet and port=23 and country=DE and last_seen>2024-07-24",Legacy protocol for remote access to older turbines or network equipment.,Operator and energy utility,86
Telnet,"org~""C-Power"" and service=telnet and port=23 and country=BE and last_seen>2024-07-24",Legacy protocol for remote access to older turbines or network equipment.,Offshore wind farm operator,0
Telnet,"org~""Parkwind"" and service=telnet and port=23 and country=BE and last_seen>2024-07-24",Legacy protocol for remote access to older turbines or network equipment.,Offshore wind developer/operator,0
Telnet,"org~""Samso Havvindmøllelaug"" and service=telnet and port=23 and country=DK and last_seen>2024-07-24",Legacy protocol for remote access to older turbines or network equipment.,Community/co-op wind farm operator,0
Telnet,"org~""RWE"" and service=telnet and port=23 and country=DE and last_seen>2024-07-24",Legacy protocol for remote access to older turbines or network equipment.,Large energy utility and wind farm operator,0
FTP,"org~""Ørsted"" and service=ftp and port=21 and country=DK and last_seen>2024-07-24","File transfer of SCADA logs, turbine firmware/configs, or engineering access.",Wind farm operator with SCADA data needs,0
FTP,"org~""Siemens Gamesa"" and service=ftp and port=21 and country=DE and last_seen>2024-07-24","File transfer of SCADA logs, turbine firmware/configs, or engineering access.",Turbine and SCADA vendor,0
FTP,"org~""Siemens"" and service=ftp and port=21 and country=DE and last_seen>2024-07-24","File transfer of SCADA logs, turbine firmware/configs, or engineering access.",Turbine and SCADA vendor,603
FTP,"org~""MHI Vestas"" and service=ftp and port=21 and country=DK and last_seen>2024-07-24","File transfer of SCADA logs, turbine firmware/configs, or engineering access.",Turbine OEM,0
FTP,"org~""Vestas"" and service=ftp and port=21 and country=DK and last_seen>2024-07-24","File transfer of SCADA logs, turbine firmware/configs, or engineering access.",Turbine OEM,2
