protocol,query,role,org_role,results,query_no_port,results_2
siemens,"(org~""GIP"" or web.html~""GIP"" or banner~""GIP"") and service=siemens and port=102 and country=DE and last_seen>2024-07-24","Used for SCADA systems, PLC control, and automation typically through Siemens S7 devices.","Gip is an operator or co-owner of offshore wind farms in DE, and may deploy or maintain equipment running siemens services.",0,"(org~""GIP"" or web.html~""GIP"" or banner~""GIP"") and service=siemens and country=DE and last_seen>2024-07-24",0
siemens,"(org~""Windmw"" or web.html~""Windmw"" or banner~""Windmw"") and service=siemens and port=102 and country=DE and last_seen>2024-07-24","Used for SCADA systems, PLC control, and automation typically through Siemens S7 devices.","Windmw is an operator or co-owner of offshore wind farms in DE, and may deploy or maintain equipment running siemens services.",0,"(org~""Windmw"" or web.html~""Windmw"" or banner~""Windmw"") and service=siemens and country=DE and last_seen>2024-07-24",0
siemens,"(org~""eneco"" or web.html~""eneco"" or banner~""eneco"") and service=siemens and port=102 and country=DE and last_seen>2024-07-24","Used for SCADA systems, PLC control, and automation typically through Siemens S7 devices.","Eneco is an operator or co-owner of offshore wind farms in DE, and may deploy or maintain equipment running siemens services.",0,"(org~""eneco"" or web.html~""eneco"" or banner~""eneco"") and service=siemens and country=DE and last_seen>2024-07-24",0
siemens,"(org~""mitsubishi"" or web.html~""mitsubishi"" or banner~""mitsubishi"") and service=siemens and port=102 and country=DE and last_seen>2024-07-24","Used for SCADA systems, PLC control, and automation typically through Siemens S7 devices.",Mitsubishi is a global supplier of control systems and SCADA devices used in turbines or substations in offshore wind farms.,0,"(org~""mitsubishi"" or web.html~""mitsubishi"" or banner~""mitsubishi"") and service=siemens and country=DE and last_seen>2024-07-24",0
siemens,"(org~""siemens"" or web.html~""siemens"" or banner~""siemens"") and service=siemens and port=102 and country=DE and last_seen>2024-07-24","Used for SCADA systems, PLC control, and automation typically through Siemens S7 devices.",Siemens is a global supplier of control systems and SCADA devices used in turbines or substations in offshore wind farms.,887,"(org~""siemens"" or web.html~""siemens"" or banner~""siemens"") and service=siemens and country=DE and last_seen>2024-07-24",887
siemens,"(org~""crosswind"" or web.html~""crosswind"" or banner~""crosswind"") and service=siemens and port=102 and country=NL and last_seen>2024-07-24","Used for SCADA systems, PLC control, and automation typically through Siemens S7 devices.","Crosswind is an operator or co-owner of offshore wind farms in NL, and may deploy or maintain equipment running siemens services.",0,"(org~""crosswind"" or web.html~""crosswind"" or banner~""crosswind"") and service=siemens and country=NL and last_seen>2024-07-24",0
siemens,"(org~""eneco"" or web.html~""eneco"" or banner~""eneco"") and service=siemens and port=102 and country=NL and last_seen>2024-07-24","Used for SCADA systems, PLC control, and automation typically through Siemens S7 devices.","Eneco is an operator or co-owner of offshore wind farms in NL, and may deploy or maintain equipment running siemens services.",0,"(org~""eneco"" or web.html~""eneco"" or banner~""eneco"") and service=siemens and country=NL and last_seen>2024-07-24",0
siemens,"(org~""shell"" or web.html~""shell"" or banner~""shell"") and service=siemens and port=102 and country=NL and last_seen>2024-07-24","Used for SCADA systems, PLC control, and automation typically through Siemens S7 devices.","Shell is an operator or co-owner of offshore wind farms in NL, and may deploy or maintain equipment running siemens services.",0,"(org~""shell"" or web.html~""shell"" or banner~""shell"") and service=siemens and country=NL and last_seen>2024-07-24",0
siemens,"(org~""ddl"" or web.html~""ddl"" or banner~""ddl"") and service=siemens and port=102 and country=NL and last_seen>2024-07-24","Used for SCADA systems, PLC control, and automation typically through Siemens S7 devices.","Ddl is likely involved in engineering, financial services, or digital twins supporting infrastructure with siemens devices.",0,"(org~""ddl"" or web.html~""ddl"" or banner~""ddl"") and service=siemens and country=NL and last_seen>2024-07-24",0
siemens,"(org~""windpark"" or web.html~""windpark"" or banner~""windpark"") and service=siemens and port=102 and country=NL and last_seen>2024-07-24","Used for SCADA systems, PLC control, and automation typically through Siemens S7 devices.","Windpark may be involved in the offshore wind farm value chain (operation, ownership, or support services) in NL.",0,"(org~""windpark"" or web.html~""windpark"" or banner~""windpark"") and service=siemens and country=NL and last_seen>2024-07-24",0
modbus,"(org~""GIP"" or web.html~""GIP"" or banner~""GIP"") and service=modbus and port=502 and country=DE and last_seen>2024-07-24","Fieldbus protocol used for communication with PLCs, turbines, sensors, or substations.","Gip is an operator or co-owner of offshore wind farms in DE, and may deploy or maintain equipment running modbus services.",0,"(org~""GIP"" or web.html~""GIP"" or banner~""GIP"") and service=modbus and country=DE and last_seen>2024-07-24",0
modbus,"(org~""Windmw"" or web.html~""Windmw"" or banner~""Windmw"") and service=modbus and port=502 and country=DE and last_seen>2024-07-24","Fieldbus protocol used for communication with PLCs, turbines, sensors, or substations.","Windmw is an operator or co-owner of offshore wind farms in DE, and may deploy or maintain equipment running modbus services.",0,"(org~""Windmw"" or web.html~""Windmw"" or banner~""Windmw"") and service=modbus and country=DE and last_seen>2024-07-24",0
modbus,"(org~""eneco"" or web.html~""eneco"" or banner~""eneco"") and service=modbus and port=502 and country=DE and last_seen>2024-07-24","Fieldbus protocol used for communication with PLCs, turbines, sensors, or substations.","Eneco is an operator or co-owner of offshore wind farms in DE, and may deploy or maintain equipment running modbus services.",1,"(org~""eneco"" or web.html~""eneco"" or banner~""eneco"") and service=modbus and country=DE and last_seen>2024-07-24",1
