protocol,query,ip,long,lat,distance,windfarm,farm_country,farm_long,farm_lat
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",37.81.135.107,8.8072,53.0758,164.2575355585267,Meerwind Ost,Germany,54.402,7.707
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",37.81.135.107,8.8072,53.0758,164.2575355585267,Meerwind Süd,Germany,54.402,7.707
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",37.81.135.107,8.8072,53.0758,173.25635175859068,Kaskasi,Germany,54.49,7.7
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",85.183.149.115,13.4105,52.5244,334.5540187499187,Lillgrund,Sweden,55.509,12.763
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",85.183.149.115,13.4105,52.5244,280.3186097015516,Kriegers Flak,Denmark,55.03,12.94
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",85.183.149.115,13.4105,52.5244,334.5540187499187,Lillgrund,Sweden,55.509,12.763
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",217.78.162.252,8.8787,49.2529,481.7814088533779,Eneco Luchterduinen,Netherlands,52.403,4.165
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",217.78.162.252,8.8787,49.2529,449.27178778186703,Westermeerdijk buitendijks,Netherlands,52.72,5.58
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",217.78.162.252,8.8787,49.2529,487.07164757460623,Windpark Fryslân,Netherlands,53.0,5.26
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",62.54.177.86,13.4105,52.5244,334.5540187499187,Lillgrund,Sweden,55.509,12.763
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",62.54.177.86,13.4105,52.5244,280.3186097015516,Kriegers Flak,Denmark,55.03,12.94
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",62.54.177.86,13.4105,52.5244,334.5540187499187,Lillgrund,Sweden,55.509,12.763
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",85.183.150.31,13.4105,52.5244,334.5540187499187,Lillgrund,Sweden,55.509,12.763
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",85.183.150.31,13.4105,52.5244,280.3186097015516,Kriegers Flak,Denmark,55.03,12.94
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",85.183.150.31,13.4105,52.5244,334.5540187499187,Lillgrund,Sweden,55.509,12.763
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",85.183.149.117,13.4105,52.5244,334.5540187499187,Lillgrund,Sweden,55.509,12.763
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",85.183.149.117,13.4105,52.5244,280.3186097015516,Kriegers Flak,Denmark,55.03,12.94
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",85.183.149.117,13.4105,52.5244,334.5540187499187,Lillgrund,Sweden,55.509,12.763
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",213.149.65.130,11.5755,48.1374,708.1337857629286,Eneco Luchterduinen,Netherlands,52.403,4.165
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",213.149.65.130,11.5755,48.1374,700.3808590970838,Windpark Fryslân,Netherlands,53.0,5.26
siemens,"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",213.149.65.130,11.5755,48.1374,662.8745932954694,Westermeerdijk buitendijks,Netherlands,52.72,5.58
