query,use_case,org_role,results_found
"org~""Siemens"" and service=siemens and port=102 and country=DE and last_seen>2024-07-24",Used in SCADA and ICS for real-time turbine and substation control.,SCADA and substation automation vendor,25
"org~""GE"" and service=siemens and port=102 and country=GB and last_seen>2024-07-24",Used in SCADA and ICS for real-time turbine and substation control.,Turbine vendor with grid interface systems,6
"org~""Alstom"" and service=telnet and port=23 and country=FR and last_seen>2024-07-24",Legacy protocol for remote access to older turbines or network equipment.,Legacy SCADA/grid vendor,10
"org~""EON"" and service=telnet and port=23 and country=DE and last_seen>2024-07-24",Legacy protocol for remote access to older turbines or network equipment.,Operator and energy utility,86
"org~""Siemens"" and service=ftp and port=21 and country=DE and last_seen>2024-07-24","File transfer of SCADA logs, turbine firmware/configs, or engineering access.",Turbine and SCADA vendor,603
"org~""Vestas"" and service=ftp and port=21 and country=DK and last_seen>2024-07-24","File transfer of SCADA logs, turbine firmware/configs, or engineering access.",Turbine OEM,2
"org~""GE RE"" and service=ftp and port=21 and country=GB and last_seen>2024-07-24","File transfer of SCADA logs, turbine firmware/configs, or engineering access.",Turbine OEM with grid interfaces,1
"org~""E.ON"" and service=ftp and port=21 and country=DE and last_seen>2024-07-24","File transfer of SCADA logs, turbine firmware/configs, or engineering access.",Energy utility and operator,2
"org~""Power"" and service=ftp and port=21 and country=PT and last_seen>2024-07-24","File transfer of SCADA logs, turbine firmware/configs, or engineering access.",Floating platform developer,11
"org~""Siemens"" and service=modbus and port=502 and country=DE and last_seen>2024-07-24","Used in fieldbus communications for sensors, breakers, and PLCs in wind farms.",Turbine and SCADA system vendor,20
"org~""GE"" and service=modbus and port=502 and country=GB and last_seen>2024-07-24","Used in fieldbus communications for sensors, breakers, and PLCs in wind farms.",Turbine and grid interface vendor,5
"org~""Power"" and service=modbus and port=502 and country=PT and last_seen>2024-07-24","Used in fieldbus communications for sensors, breakers, and PLCs in wind farms.",Floating wind foundation developer,2
"org~""Siemens"" and service=dnp3 and port=20000 and country=DE and last_seen>2024-07-24",Used for telemetry and control of substations and remote energy infrastructure.,Substation/grid automation vendor,1
